Date,Category,Description,Amount
8/1/2022,Income,Income,1500
8/1/2022,Gym,Gym Membership,25
8/1/2022,Food,Groceries,71.14
8/1/2022,Transportation,Taxi,6.77
8/2/2022,Food,Groceries,89.42
8/3/2022,Food,Groceries,147.93
8/4/2022,Food,Dine-out,86.48
8/4/2022,Transportation,Taxi,17.04
8/5/2022,Utilities,Rent,500
8/6/2022,Food,Groceries,133.17
8/6/2022,Food,Dine-out,110.55
8/14/2022,No Transactions,No Transactions,0
8/16/2022,No Transactions,No Transactions,0
8/17/2022,No Transactions,No Transactions,0
8/24/2022,No Transactions,No Transactions,0
9/1/2022,Income,Income,1500
9/1/2022,Gym,Gym Membership,25
9/1/2022,Entertainment,Streaming Service,10
9/1/2022,Food,Groceries,79.71
9/2/2022,Entertainment,Streaming Service,10
9/2/2022,Food,Groceries,53.63
9/3/2022,Entertainment,Streaming Service,10
9/3/2022,Food,Groceries,102.71
9/3/2022,Food,Dine-out,130.14
9/4/2022,Food,Groceries,122.52
9/4/2022,Food,Dine-out,68.3
9/4/2022,Entertainment,Movie Ticket,20
9/5/2022,Utilities,Rent,500
9/5/2022,Utilities,Electricity Bill,149.4
9/5/2022,Utilities,Water Bill,52.66
9/5/2022,Utilities,Internet Bill,45
9/5/2022,Transportation,Taxi,17.64
9/6/2022,Transportation,Taxi,6.74
9/6/2022,No Transactions,No Transactions,0
9/8/2022,Food,Dine-out,50.64
9/12/2022,Transportation,Taxi,13.98
9/13/2022,No Transactions,No Transactions,0
9/14/2022,No Transactions,No Transactions,0
9/16/2022,Transportation,Taxi,9.13
9/26/2022,Transportation,Taxi,17.93
9/26/2022,No Transactions,No Transactions,0
10/1/2022,Income,Income,1500
10/1/2022,Gym,Gym Membership,25
10/1/2022,Entertainment,Streaming Service,10
10/1/2022,Food,Groceries,135.13
10/2/2022,Entertainment,Streaming Service,10
10/2/2022,Food,Groceries,61.79
10/2/2022,Food,Dine-out,100.39
10/2/2022,No Transactions,No Transactions,0
10/3/2022,Food,Groceries,139.28
10/4/2022,Food,Dine-out,99.98
10/5/2022,Transportation,Taxi,13.67
10/6/2022,Food,Dine-out,117.58
10/6/2022,Transportation,Taxi,9.36
10/8/2022,Food,Groceries,149.21
10/8/2022,Food,Dine-out,121.25
10/9/2022,Food,Dine-out,82.94
10/10/2022,Food,Dine-out,83.99
10/15/2022,No Transactions,No Transactions,0
10/16/2022,Entertainment,Movie Ticket,20
10/17/2022,Transportation,Taxi,18.91
10/20/2022,No Transactions,No Transactions,0
10/22/2022,No Transactions,No Transactions,0
11/1/2022,Income,Income,1500
11/1/2022,Gym,Gym Membership,25
11/1/2022,Entertainment,Streaming Service,20
11/1/2022,Food,Groceries,123.28
11/2/2022,Food,Groceries,111.08
11/2/2022,Transportation,Taxi,10.3
11/2/2022,No Transactions,No Transactions,0
11/3/2022,Food,Groceries,60.49
11/3/2022,Transportation,Taxi,16.35
11/4/2022,Food,Dine-out,103.84
11/4/2022,Transportation,Taxi,19.18
11/5/2022,Utilities,Rent,500
11/5/2022,Utilities,Electricity Bill,113.41
11/5/2022,Utilities,Water Bill,32.57
11/5/2022,Utilities,Internet Bill,45
11/5/2022,Food,Groceries,125.09
11/6/2022,Food,Dine-out,59.54
11/7/2022,Transportation,Taxi,19.41
11/8/2022,Transportation,Taxi,10.59
11/9/2022,Transportation,Taxi,6.58
11/10/2022,No Transactions,No Transactions,0
11/14/2022,Transportation,Taxi,17.84
11/15/2022,Transportation,Taxi,18.25
11/16/2022,Transportation,Taxi,13.59
11/17/2022,Transportation,Taxi,8.34
11/17/2022,No Transactions,No Transactions,0
11/18/2022,Transportation,Taxi,13.32
11/19/2022,Entertainment,Movie Ticket,20
11/26/2022,No Transactions,No Transactions,0
12/1/2022,Income,Income,1500
12/1/2022,Gym,Gym Membership,25
12/1/2022,Entertainment,Streaming Service,16
12/1/2022,Food,Groceries,58.58
12/1/2022,Food,Dine-out,73.45
12/2/2022,Food,Groceries,132.78
12/2/2022,Entertainment,Movie Ticket,20
12/3/2022,Food,Groceries,73.91
12/3/2022,Food,Dine-out,99.91
12/3/2022,Entertainment,Holiday Shopping,274.69
12/3/2022,No Transactions,No Transactions,0
12/4/2022,No Transactions,No Transactions,0
12/5/2022,Food,Dine-out,88.14
12/5/2022,Entertainment,Holiday Shopping,120.46
12/6/2022,Food,Dine-out,78.71
12/8/2022,Food,Groceries,93.09
12/16/2022,No Transactions,No Transactions,0
12/19/2022,No Transactions,No Transactions,0
12/20/2022,No Transactions,No Transactions,0
12/22/2022,No Transactions,No Transactions,0
12/24/2022,No Transactions,No Transactions,0
12/25/2022,No Transactions,No Transactions,0
1/1/2023,Income,Income,1500
1/1/2023,Gym,Gym Membership,25
1/1/2023,Food,Groceries,51.89
1/1/2023,Food,Dine-out,85.89
1/2/2023,Food,Groceries,144.65
1/2/2023,No Transactions,No Transactions,0
1/3/2023,Entertainment,Streaming Service,10
1/3/2023,Food,Groceries,114.83
1/4/2023,Entertainment,Streaming Service,10
1/4/2023,Food,Dine-out,103.21
1/5/2023,Utilities,Rent,500
1/5/2023,Utilities,Electricity Bill,72.17
1/5/2023,Utilities,Water Bill,35.48
1/5/2023,Utilities,Internet Bill,45
1/6/2023,Food,Dine-out,111.65
1/7/2023,No Transactions,No Transactions,0
1/8/2023,Food,Groceries,55.35
